Nf1	Nf2	Nf3	Rx1	Rx2	Rx3
1700011I03Rik	10	7	3	10	6	36
1700011L22Rik	12	11	0	7	5	11
1700011M02Rik	0	0	4	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	4	0
1700012B09Rik	2	2	0	0	0	0
1700012D01Rik	14	13	5	9	8	11
1700012D14Rik	28	14	18	23	20	14
1700012I11Rik	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0
1700013F07Rik	6	3	3	0	10	1
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	2	0	0	1	0
1700015E13Rik	34	30	23	15	27	31
1700015F17Rik	6	8	4	2	4	16
1700015G11Rik	0	0	0	0	8	3
1700016C15Rik	4	0	6	0	2	0
1700016D06Rik	0	0	4	3	5	4
1700016G22Rik	0	0	0	0	0	0
1700016H13Rik	0	1	0	1	0	0
1700016K19Rik	0	0	0	0	0	0
1700016L04Rik	0	0	0	1	0	0
1700016L21Rik	0	0	0	0	0	0
1700016P04Rik	0	0	1	0	0	0
1700017B05Rik	162	413	339	162	120	120
1700017D01Rik	0	0	0	0	0	0
1700017G19Rik	3	4	4	0	4	0
1700017J07Rik	0	0	0	0	0	7
1700017N19Rik	0	0	0	2	0	0
1700018A04Rik	0	1	0	0	0	1
1700018B08Rik	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	0	1	1	16	0	0
1700018F24Rik	0	0	0	0	0	0
1700018G05Rik	11	1	1	0	1	1
1700018L02Rik	6	16	1	1	5	8
1700019A02Rik	5	5	2	6	2	5
1700019B03Rik	2	0	1	0	1	7
1700019B21Rik	0	0	0	0	0	0
1700019D03Rik	22	69	19	39	30	77
1700019E08Rik	0	0	0	0	0	0
1700019G17Rik	10	1	17	11	6	1
1700019G24Rik	3	2	0	1	2	2
1700019L03Rik	33	30	15	23	12	19
1700019M22Rik	0	0	0	0	0	0
1700019N19Rik	2	14	2	4	0	3
1700019O17Rik	0	0	0	0	0	0
1700020A23Rik	2	0	2	1	0	10
1700020D05Rik	9	5	10	19	2	3
1700020G17Rik	0	0	0	0	0	0
1700020I14Rik	708	773	789	626	889	737
1700020L24Rik	18	29	8	5	14	1
1700020M21Rik	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	0
1700021F05Rik	153	177	112	163	293	210
1700021F07Rik	0	0	0	0	0	0
1700021K19Rik	831	935	945	657	603	867
1700021N21Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	6	0	0
1700022A22Rik	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0
1700022H16Rik	0	2	0	0	0	0
1700022I11Rik	7	15	5	4	13	4
1700023C21Rik	7	6	1	2	3	5
1700023E05Rik	0	0	0	2	0	0
1700023F02Rik	0	0	0	0	0	0
1700023F06Rik	0	1	1	0	0	0
1700023L04Rik	2	8	0	2	2	3
1700024B18Rik	22	23	9	3	5	7
1700024F13Rik	4	10	32	7	3	26
1700024G13Rik	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	14	48	14	18	44	88
1700025B11Rik	0	0	1	0	1	0
1700025C18Rik	0	0	0	0	0	0
1700025F22Rik	1	0	0	0	0	0
1700025F24Rik	1	0	0	0	0	4
1700025G04Rik	2834	4290	3241	1416	1551	2329
1700025K24Rik	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	5	0
1700025N23Rik	130	31	135	28	20	27
1700026D08Rik	5	12	3	3	9	6
1700026D11Rik	0	0	0	1	0	0
1700026F02Rik	0	0	0	0	0	0
1700026L06Rik	2	0	0	4	1	1
1700027A15Rik	0	0	1	0	2	0
1700027F09Rik	4	0	9	0	0	0
1700027H10Rik	0	0	0	1	2	8
1700027I24Rik	0	0	0	0	0	0
1700027J07Rik	3	5	0	2	12	0
1700028B04Rik	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0
1700028E10Rik	49	79	53	72	81	93
1700028I16Rik	0	0	0	0	0	2
1700028J19Rik	1	5	1	2	20	0
1700028K03Rik	194	132	289	121	128	155
1700028M03Rik	0	0	0	0	0	8
1700028P14Rik	7	4	0	0	0	0
1700028P15Rik	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	2
1700029H14Rik	3	1	3	0	3	0
1700029I15Rik	26	40	19	22	23	23
1700029J03Rik	0	0	0	0	0	0
1700029J07Rik	136	203	56	123	81	146
1700029M20Rik	0	0	0	0	0	1
1700029N11Rik	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	2
1700030A11Rik	0	0	0	0	0	0
1700030C10Rik	40	44	1	3	58	16
1700030F04Rik	1	0	0	1	0	0
1700030F18Rik	0	0	4	3	0	0
1700030J22Rik	19	27	42	56	31	40
1700030K09Rik	94	119	108	107	95	75
1700030L20Rik	76	47	68	52	32	45
1700030M09Rik	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0
1700031A10Rik	0	0	0	4	3	4
1700031F05Rik	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	1	0
1700031P21Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034F02Rik	14	15	9	16	18	20
1700034G24Rik	0	0	0	0	0	0
1700034H15Rik	51	39	45	41	32	48
1700034I23Rik	55	61	52	32	35	44
1700034J05Rik	188	162	138	79	106	109
1700034K08Rik	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0
1700034P13Rik	3	0	0	0	0	1
1700036G14Rik	0	0	0	2	0	0
1700037C18Rik	12	9	22	4	15	8
1700037H04Rik	155	192	183	372	589	319
1700039E15Rik	0	0	0	0	6	0
1700039E22Rik	6	0	0	0	0	7
1700040L02Rik	4	1	0	15	20	13
1700041C23Rik	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	3
1700042B14Rik	0	0	3	0	0	0
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	3	1
1700042O10Rik	0	0	4	0	0	0
1700044C05Rik	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	1
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	20	20	15	12	6	21
1700047E10Rik	17	22	13	14	6	13
1700047G03Rik	0	0	0	0	11	0
1700047I17Rik2	0	0	0	0	0	0
1700047L14Rik	1	0	0	0	0	0
1700047M11Rik	139	175	106	123	64	127
1700048M11Rik	21	5	3	7	10	19
1700048O20Rik	114	51	82	112	61	80
1700049E15Rik	1	3	0	0	0	0
1700049E22Rik	0	0	0	0	0	0
1700049G17Rik	306	334	320	145	161	222
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0
1700052I22Rik	0	2	0	0	0	0
1700052K11Rik	71	54	99	84	109	25
1700052N19Rik	106	144	131	119	156	103
1700054A03Rik	0	10	0	4	9	1
1700054K19Rik	0	0	0	0	0	0
1700054M17Rik	1	4	0	4	5	1
1700054O13Rik	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0
1700055N04Rik	0	1	0	0	0	0
1700056E22Rik	3	7	7	16	11	14
1700057G04Rik	3	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	2	12	0	0	1	13
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	44	28	29	16	34	23
1700061I17Rik	6	4	0	1	9	0
1700063A18Rik	0	0	0	0	0	0
1700063D05Rik	225	331	243	176	138	200
1700063O14Rik	0	0	0	0	3	0
1700064J06Rik	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	0
1700065D16Rik	0	0	2	0	0	0
1700065I16Rik	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	3
1700065J18Rik	8	1	1	5	4	14
1700065L07Rik	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0
1700066B17Rik	0	2	2	1	1	0
1700066B19Rik	3	0	2	3	4	13
1700066M21Rik	188	129	159	252	244	361
1700066N21Rik	0	0	0	0	0	0
1700066O22Rik	13	38	36	24	1	5
1700067G17Rik	0	0	0	0	0	0
1700067K01Rik	36	42	39	7	7	29
1700067P10Rik	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0
1700071K01Rik	1	1	1	12	18	18
1700071M16Rik	120	193	37	144	115	211
1700072B07Rik	0	0	0	0	7	0
1700072O05Rik	0	0	12	0	0	0
1700073E17Rik	3	18	1	2	10	9
1700074H08Rik	9	23	8	9	7	14
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080N15Rik	1	13	6	15	43	32
1700080O16Rik	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0
1700084C01Rik	3	2	3	2	1	6
1700084E18Rik	0	0	1	0	0	0
1700084F23Rik	0	0	0	0	0	0
1700084J12Rik	15	21	11	2	11	1
1700085C21Rik	0	2	2	2	7	1
1700086L19Rik	1	3	3	4	3	12
1700086O06Rik	10	24	31	9	10	18
1700088E04Rik	0	0	1	2	1	2
1700091H14Rik	0	0	1	0	2	1
1700092C02Rik	0	0	0	0	2	0
1700092C10Rik	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	3
1700092K14Rik	0	0	0	0	0	0
1700092M07Rik	1	1	1	0	8	0
1700093K21Rik	4	7	3	7	11	2
1700094D03Rik	244	217	199	172	193	182
1700094J05Rik	9	36	23	3	9	7
1700094M24Rik	0	0	0	0	0	0
1700095A21Rik	13	9	8	2	2	10
1700095B10Rik	0	0	0	0	2	0
1700096J18Rik	0	0	1	2	2	5
1700096K18Rik	39	18	48	39	61	30
1700097N02Rik	0	0	0	0	0	3
1700100L14Rik	2	1	0	2	0	5
1700101E01Rik	0	0	0	0	0	0
1700101I11Rik	0	6	0	8	11	0
1700101O22Rik	0	0	0	0	0	0
1700102H20Rik	3	0	2	0	3	8
1700102P08Rik	7	6	9	6	3	13
1700104L18Rik	0	0	0	0	0	0
1700105P06Rik	2	7	5	4	4	5
1700106J16Rik	0	0	0	0	0	0
1700108F19Rik	0	0	0	2	0	0
1700108J01Rik	7	4	14	2	8	1
1700109G14Rik	0	0	0	1	0	0
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	85	39	68	54	26	48
1700109I08Rik	0	0	0	0	0	0
1700109K24Rik	106	129	93	90	107	124
1700110C19Rik	63	84	119	49	67	67
1700110I01Rik	0	0	0	0	0	0
1700110K17Rik	105	88	97	58	74	99
1700111N16Rik	0	0	0	1	0	0
1700112E06Rik	14	20	6	4	3	18
1700112H15Rik	7	0	2	0	0	5
1700112J05Rik	1	26	2	2	1	0
1700113A16Rik	49	71	78	50	42	79
1700113H08Rik	4	8	10	3	13	5
1700119H24Rik	2	5	3	0	5	2
1700120C14Rik	0	0	4	0	1	4
1700120E14Rik	0	0	0	2	1	0
1700120G07Rik	20	15	7	6	1	10
1700120K04Rik	6	1	4	10	6	4
1700121L16Rik	0	0	0	0	0	2
1700121N20Rik	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0
1700123I01Rik	7	3	5	0	0	4
1700123K08Rik	2	0	1	0	0	1
1700123L14Rik	8	38	0	15	19	16
1700123M08Rik	111	72	107	47	30	42
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	107	117	118	95	58	78
1700123O21Rik	63	8	9	5	17	14
1700124L16Rik	0	0	0	3	2	4
1700125G02Rik	0	0	0	0	0	2
1700125G22Rik	0	6	1	0	1	0
1700125H03Rik	66	66	63	64	33	45
1700125H20Rik	0	5	2	4	2	1
1700126H18Rik	0	0	0	0	2	0
1700128A07Rik	32	51	20	29	8	27
1700128F08Rik	22	34	26	27	28	41
1700129C05Rik	0	0	0	0	0	0
1810006J02Rik	6	0	2	12	4	13
1810007C17Rik	0	0	0	0	0	0
1810007D17Rik	0	0	0	2	2	10
1810008I18Rik	0	1	4	0	0	0
1810009A15Rik	1	0	2	0	0	1
1810009J06Rik	0	0	0	0	0	0
1810010D01Rik	0	0	0	1	0	9
1810010H24Rik	14	27	8	25	16	20
1810011H11Rik	101	48	121	18	9	10
1810011O10Rik	95	135	97	231	205	96
1810012K16Rik	17	2	23	34	17	1
1810013A23Rik	32	23	38	30	11	14
1810013L24Rik	1970	2833	2156	1932	2012	2807
1810014B01Rik	65	129	62	59	116	60
1810018F18Rik	0	0	0	0	0	0
1810019D21Rik	1	1	7	0	2	6
1810020O05Rik	11	5	16	2	17	6
1810021B22Rik	12	17	10	10	15	17
1810022K09Rik	178	137	156	157	192	204
1810024B03Rik	10	1	5	1	1	0
1810026B05Rik	944	958	896	482	465	568
1810026J23Rik	450	548	459	594	615	591
1810030O07Rik	1180	1346	1119	877	712	1038
1810032O08Rik	29	46	16	19	19	38
1810034E14Rik	94	73	108	78	75	42
1810037I17Rik	141	139	221	221	178	178
1810041L15Rik	135	318	134	694	676	1830
1810043G02Rik	106	139	119	89	111	200
1810043H04Rik	60	74	84	70	97	61
1810044D09Rik	1	0	0	1	2	0
1810046K07Rik	1	0	0	1	0	0
1810053B23Rik	1	0	3	0	0	0
1810055G02Rik	618	745	699	480	250	445
1810058I24Rik	155	111	160	142	102	148
1810062G17Rik	3	26	6	6	4	4
1810062O18Rik	51	148	58	71	55	69
1810064F22Rik	22	21	12	24	14	16
1810065E05Rik	0	0	0	0	0	0
2010001E11Rik	0	11	0	0	3	4
2010002M12Rik	77	106	73	55	93	64
2010003K11Rik	7	3	0	11	38	0
2010005H15Rik	15	29	21	8	2	5
2010009K17Rik	3	9	8	7	2	1
2010010A06Rik	0	1	2	0	3	2
2010012O05Rik	348	416	384	381	360	451
2010015L04Rik	317	341	387	209	169	305
2010016I18Rik	22	12	47	33	17	27
2010106C02Rik	21	11	24	15	44	33
2010106E10Rik	0	1	0	0	0	0
2010107E04Rik	263	282	234	450	572	551
2010107G12Rik	2	19	24	7	1	8
2010107G23Rik	37	27	3	58	63	115
2010109A12Rik	2	1	6	5	3	1
2010109I03Rik	75	67	56	42	24	50
2010111I01Rik	3103	2888	2839	1708	1574	2388
2010204K13Rik	21	3	21	11	9	16
2010300C02Rik	3	10	0	5	8	10
2010308F09Rik	7	2	1	0	0	0
2010310C07Rik	18	22	33	16	5	0
2010315B03Rik	412	473	435	345	355	403
2010320M18Rik	5	3	10	8	3	5
2200002D01Rik	4	5	7	0	0	1
2200002J24Rik	0	0	0	0	0	0
2210010C04Rik	0	0	0	3	0	0
2210011C24Rik	0	1	0	1	3	5
2210013O21Rik	252	345	355	297	288	506
2210015D19Rik	121	117	158	99	166	151
2210016F16Rik	231	206	293	225	305	196
2210016L21Rik	152	172	265	193	172	412
2210018M11Rik	1395	1789	1427	1201	991	1260
2210019I11Rik	0	0	0	0	0	0
2210039B01Rik	230	215	348	115	117	146
2210404O09Rik	23	36	36	21	34	52
2210407C18Rik	0	0	0	0	0	0
2210408F21Rik	37	127	77	94	139	111
2210408I21Rik	372	222	328	226	206	323
2210409D07Rik	0	8	0	8	3	0
2210409E12Rik	0	0	0	0	0	0
2210414B05Rik	0	0	0	1	0	0
2210416O15Rik	6	36	20	21	20	17
2210417A02Rik	6	1	18	16	0	1
2210420H20Rik	0	0	0	0	1	6
2300002M23Rik	0	0	0	0	0	0
2300003K06Rik	2	0	0	0	0	0
2300005B03Rik	0	2	0	2	0	9
2300009A05Rik	19	27	22	23	51	13
2310001H17Rik	29	39	43	24	37	7
2310001K24Rik	0	0	0	6	0	0
2310002D06Rik	0	25	0	0	0	0
2310002F09Rik	184	75	103	46	80	206
2310002J15Rik	0	0	0	0	0	0
2310002L09Rik	0	95	0	2	179	2
2310003H01Rik	57	41	61	48	53	73
2310005A03Rik	0	0	0	0	0	0
2310005E17Rik	81	163	75	42	26	30
2310005G13Rik	6	0	8	11	0	17
2310007B03Rik	0	0	0	0	0	0
2310007L24Rik	0	13	0	1	1	0
2310008N11Rik	0	0	0	0	1	3
2310009A05Rik	16	26	34	8	27	9
2310009B15Rik	45	44	27	17	30	35
2310010J17Rik	80	26	13	38	40	37
2310011J03Rik	36	58	25	30	37	55
2310014L17Rik	19	8	27	14	2	30
2310015A10Rik	425	360	492	302	260	483
2310015B20Rik	0	17	0	0	94	7
2310015D24Rik	2	10	12	1	22	6
2310016D03Rik	0	8	0	0	16	0
2310020H05Rik	6	0	0	1	6	0
2310022A10Rik	65	119	63	75	76	75
2310022B05Rik	261	365	256	324	274	508
2310030A07Rik	0	0	1	0	0	19
2310030G06Rik	44	15	112	94	66	61
2310033P09Rik	102	108	109	67	92	118
2310034C09Rik	0	0	0	0	0	0
2310034G01Rik	11	1	10	8	4	7
2310034O05Rik	16	0	1	0	1	4
2310035C23Rik	1391	1554	1455	941	882	1502
2310036O22Rik	175	202	202	115	133	160
2310039H08Rik	8	10	34	14	22	3
2310039L15Rik	312	378	341	226	246	296
2310040G24Rik	7	63	5	2	58	12
2310042E22Rik	6	2	1	0	0	0
2310043L19Rik	0	0	0	0	0	0
2310043O21Rik	0	6	0	2	0	0
2310045N01Rik	370	417	280	295	158	258
2310047M10Rik	26	35	30	13	56	70
2310050C09Rik	0	0	0	0	0	0
2310057J18Rik	0	0	0	0	0	1
2310057M21Rik	122	247	196	95	111	254
2310057N15Rik	0	0	0	0	0	0
2310061I04Rik	83	104	99	128	144	179
2310061J03Rik	27	33	41	27	31	26
2310061N02Rik	0	0	0	0	0	0
2310065F04Rik	2	52	0	5	353	0
2310067B10Rik	218	169	200	267	370	299
2310068J16Rik	4	30	9	3	10	6
2310069B03Rik	37	2	11	64	535	31
2310069G16Rik	4	3	12	13	15	35
2310079G19Rik	0	0	0	0	0	0
2310081J21Rik	0	0	0	0	0	0
2410002F23Rik	248	213	348	156	88	182
2410003L11Rik	0	0	0	0	2	0
2410004B18Rik	123	135	130	117	97	122
2410004I01Rik	4	1	0	0	0	0
2410004N09Rik	19	23	36	21	15	9
2410004P03Rik	42	42	48	37	22	46
2410006H16Rik	49	62	62	27	51	51
2410007B07Rik	20	13	0	4	0	23
2410012E07Rik	0	0	2	2	0	3
2410012M07Rik	0	0	0	0	1	0
2410015M20Rik	59	40	32	67	44	45
2410016O06Rik	95	88	107	69	59	51
2410017I17Rik	0	2	0	2	1	1
2410018L13Rik	32	56	54	47	73	102
2410021H03Rik	96	97	71	95	97	139
2410076I21Rik	174	295	227	131	91	127
2410088K16Rik	0	0	0	0	0	0
2410089E03Rik	1436	1689	1378	1226	1050	1807
2410114N07Rik	1	0	1	0	4	1
2410124H12Rik	0	0	0	0	0	0
2410127L17Rik	436	477	270	333	772	364
2410131K14Rik	44	60	29	37	50	60
2410137M14Rik	4	0	0	9	20	14
2410141K09Rik	0	0	2	0	0	0
2500004C02Rik	227	228	270	205	206	200
2510002D24Rik	60	43	72	35	56	135
2510003E04Rik	763	927	747	778	846	1347
2510009E07Rik	1935	2120	1935	1759	1720	2749
2510039O18Rik	243	228	304	183	189	246
2510049J12Rik	53	76	43	54	65	52
2610001J05Rik	218	293	235	179	146	214
2610002J02Rik	76	82	133	106	132	128
2610002M06Rik	786	916	802	861	921	1470
2610005L07Rik	1592	2283	1929	1520	1638	2077
2610008E11Rik	806	767	637	641	515	745
2610015P09Rik	401	456	312	266	221	308
2610016A17Rik	0	0	1	0	0	0
2610018G03Rik	107	86	71	59	75	93
2610020C07Rik	65	105	73	37	29	36
2610020H08Rik	125	158	152	243	51	106
2610027K06Rik	83	161	123	85	104	117
2610028E06Rik	0	0	0	0	0	0
2610028H24Rik	0	3	0	0	0	0
2610034B18Rik	232	221	179	96	179	179
2610034M16Rik	16	19	11	40	60	39
2610035D17Rik	77	108	72	46	49	41
2610035F20Rik	10	9	0	5	0	6
2610037D02Rik	45	70	38	28	52	103
2610044O15Rik8	411	494	408	383	457	430
2610100L16Rik	1	0	0	4	2	6
2610203C20Rik	4631	4970	4545	1977	1982	2961
2610203C22Rik	161	98	125	58	40	63
2610206C17Rik	12	18	1	7	5	10
2610207O16Rik	0	0	0	0	0	0
2610301B20Rik	251	379	283	185	276	299
2610305D13Rik	20	16	116	17	25	4
2610306M01Rik	14	25	20	20	17	36
2610307P16Rik	480	432	432	334	215	381
2610316D01Rik	2	0	1	16	25	23
2610318N02Rik	1	0	13	1	0	1
2610507B11Rik	4403	5207	4818	4235	4993	4852
2610507I01Rik	319	408	257	317	282	501
2610524H06Rik	55	65	84	47	50	78
2610528A11Rik	2	6	3	2	7	5
2610528J11Rik	0	0	0	0	0	0
2700029M09Rik	369	350	438	298	290	414
2700038G22Rik	73	58	91	45	24	48
2700046A07Rik	0	5	0	2	0	0
2700046G09Rik	44	39	57	57	26	33
2700049A03Rik	443	440	561	383	256	446
2700054A10Rik	59	76	75	42	61	125
2700060E02Rik	590	524	594	373	396	521
2700062C07Rik	147	181	197	127	131	201
2700069I18Rik	73	51	70	46	28	66
2700070H01Rik	75	31	58	56	54	71
2700081O15Rik	782	1228	679	708	872	1094
2700086A05Rik	0	9	0	0	0	0
2700089E24Rik	1155	1220	1179	1177	1591	1187
2700089I24Rik	0	0	0	0	2	1
2700094K13Rik	22	81	35	23	26	49
2700097O09Rik	167	214	199	233	174	233
2700099C18Rik	67	48	50	57	27	59
2810001G20Rik	43	32	37	23	31	28
